label,﻿C-K,N-K,O-K,F-K,Na-K,Mg-K,Al-K,Si-K,P-K,S-K,Cl-K,K-K,Ca-K,Sc-K,Ti-K,V-K,Cr-K,Mn-K,Fe-K,Co-K,Ni-K,Cu-K,Zn-K,Ga-K,Ge-K,As-K,Se-K,Br-K,Rb-K,Sr-K,Y-K,Zr-K,Nb-K,Mo-K,Ru-K,Rh-K,Pd-K,Ag-K,Cd-K,In-K,Sn-K,Sb-K,Te-K,I-K,Cs-K,Ba-K,La-K,Ce-K,Pr-K,Nd-K,Pm-K,Sm-K,Eu-K,Gd-K,Tb-K,Dy-K,Ho-K,Er-K,Tm-K,Yb-K,Lu-K,Hf-K,Ta-K,W-K,Re-K,Os-K,Ir-K,Pt-K,Au-K,Hg-K,Tl-K,Pb-K,Bi-K,Po-K,At-K,Fr-K,Ra-K,Ac-K,Th-K,Pa-K,U-K,Np-K,Pu-K,Am-K,﻿C-L,N-L,O-L,F-L,Na-L,Mg-L,Al-L,Si-L,P-L,S-L,Cl-L,K-L,Ca-L,Sc-L,Ti-L,V-L,Cr-L,Mn-L,Fe-L,Co-L,Ni-L,Cu-L,Zn-L,Ga-L,Ge-L,As-L,Se-L,Br-L,Rb-L,Sr-L,Y-L,Zr-L,Nb-L,Mo-L,Ru-L,Rh-L,Pd-L,Ag-L,Cd-L,In-L,Sn-L,Sb-L,Te-L,I-L,Cs-L,Ba-L,La-L,Ce-L,Pr-L,Nd-L,Pm-L,Sm-L,Eu-L,Gd-L,Tb-L,Dy-L,Ho-L,Er-L,Tm-L,Yb-L,Lu-L,Hf-L,Ta-L,W-L,Re-L,Os-L,Ir-L,Pt-L,Au-L,Hg-L,Tl-L,Pb-L,Bi-L,Po-L,At-L,Fr-L,Ra-L,Ac-L,Th-L,Pa-L,U-L,Np-L,Pu-L,Am-L,﻿C-M,N-M,O-M,F-M,Na-M,Mg-M,Al-M,Si-M,P-M,S-M,Cl-M,K-M,Ca-M,Sc-M,Ti-M,V-M,Cr-M,Mn-M,Fe-M,Co-M,Ni-M,Cu-M,Zn-M,Ga-M,Ge-M,As-M,Se-M,Br-M,Rb-M,Sr-M,Y-M,Zr-M,Nb-M,Mo-M,Ru-M,Rh-M,Pd-M,Ag-M,Cd-M,In-M,Sn-M,Sb-M,Te-M,I-M,Cs-M,Ba-M,La-M,Ce-M,Pr-M,Nd-M,Pm-M,Sm-M,Eu-M,Gd-M,Tb-M,Dy-M,Ho-M,Er-M,Tm-M,Yb-M,Lu-M,Hf-M,Ta-M,W-M,Re-M,Os-M,Ir-M,Pt-M,Au-M,Hg-M,Tl-M,Pb-M,Bi-M,Po-M,At-M,Fr-M,Ra-M,Ac-M,Th-M,Pa-M,U-M,Np-M,Pu-M,Am-M
0,16,18,47,11,7,9,7,15,12,67,12,12,39,15,95,44,21,14,14,10,9,8,8,8,6,7,5,5,4,4,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,9,7,7,7,12,9,8,9,19,17,14,16,54,82,20,20,20,23,26,28,53,54,46,41,78,244,88,157,73,74,42,41,34,28,28,26,23,21,20,19,17,19,17,18,16,18,17,14,13,13,12,12,10,9,10,9,9,8,8,7,6,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,15,13,14,18,20,15,11,11,12,12,13,14,17,17,15,15,15,16,31,79,89,50,23,17,17,19,20,21,22,22,22,22,25,42
0,16,17,45,14,8,5,8,15,11,75,11,12,40,14,95,46,20,12,13,10,9,7,8,9,7,6,5,4,4,4,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,8,8,8,8,6,7,7,9,19,15,16,15,56,92,21,20,21,23,26,27,55,54,45,43,76,249,84,156,70,74,39,38,30,26,25,22,22,23,19,21,18,20,18,18,16,16,18,16,13,12,11,10,11,10,11,9,9,7,8,8,6,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,16,13,16,15,14,14,11,11,12,10,10,14,17,16,13,16,15,16,31,83,100,56,25,17,18,19,20,20,21,22,20,20,25,42
0,14,16,45,11,8,7,9,15,10,72,11,9,26,14,101,48,22,13,10,9,9,8,8,8,6,7,5,4,4,5,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,9,8,8,6,8,8,9,11,20,16,13,17,55,90,20,20,21,21,23,24,40,41,38,40,81,250,94,166,78,85,44,44,33,30,25,22,24,21,21,20,19,18,18,17,18,16,16,14,14,12,13,11,10,9,11,10,9,9,8,6,6,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,14,14,14,15,15,15,12,13,14,13,13,14,18,17,14,13,13,17,31,80,95,56,24,17,17,19,21,20,19,19,18,20,22,33
0,14,19,46,17,7,6,7,13,11,74,10,13,46,14,95,42,22,14,15,11,9,6,7,8,6,6,5,4,3,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,8,7,8,6,8,8,8,8,17,17,14,14,54,90,18,18,21,20,24,29,60,56,53,43,84,243,90,151,73,72,44,37,33,28,27,23,23,23,17,18,21,18,16,16,17,18,17,15,12,12,12,10,10,10,10,10,9,9,7,7,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,15,13,13,15,14,15,12,12,11,10,10,12,15,16,15,15,14,14,30,83,97,55,25,15,16,18,20,20,18,18,20,20,25,44
0,16,21,40,8,6,8,6,10,17,79,11,11,31,13,94,38,19,12,17,9,8,7,9,7,7,8,6,4,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8,8,7,5,8,9,8,8,13,14,21,22,71,99,19,17,19,19,24,28,48,48,41,42,94,250,94,137,71,64,38,39,30,26,34,23,20,21,17,17,18,19,16,13,17,19,16,13,11,12,11,11,11,10,8,10,11,9,8,5,7,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,13,12,13,14,15,14,12,12,11,10,11,9,11,13,13,19,22,23,40,100,107,55,28,18,16,18,19,18,17,19,20,20,24,38
0,13,18,48,13,8,5,7,17,12,74,10,9,36,13,99,48,21,12,12,13,9,7,9,11,7,6,6,5,4,5,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,10,10,9,7,7,6,8,9,21,18,15,15,54,90,19,19,22,21,22,22,50,51,41,37,81,247,94,158,76,76,41,39,28,26,26,22,23,25,18,21,22,16,19,18,17,17,18,15,14,11,11,11,8,10,10,9,8,7,5,6,5,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,18,15,16,17,17,13,10,12,12,13,14,13,20,19,16,16,15,14,31,83,96,55,25,18,16,21,23,20,20,21,19,18,19,42
0,12,19,41,13,6,7,8,15,14,73,11,9,44,16,89,43,19,12,9,10,9,8,7,9,7,9,7,3,4,4,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,7,7,6,5,7,7,7,9,19,15,18,16,66,93,20,19,24,23,21,23,54,52,46,45,87,236,83,139,71,66,39,39,25,26,26,22,24,24,21,18,17,19,19,17,17,17,18,18,16,13,11,17,9,11,12,9,10,11,9,7,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,14,11,11,14,14,12,10,12,13,9,10,13,18,15,14,18,18,16,36,90,102,57,29,17,17,19,22,22,21,20,18,20,18,41
0,16,20,51,13,9,11,8,15,11,81,8,12,34,15,109,43,20,16,13,10,9,7,8,12,4,5,6,3,3,4,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,10,8,8,7,11,12,8,9,18,21,15,14,55,101,16,15,19,24,27,27,45,48,47,37,72,249,85,148,66,69,41,36,35,24,26,26,21,24,18,15,20,20,18,15,16,15,21,14,15,9,12,9,12,9,10,10,9,8,8,6,5,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,18,16,16,17,18,20,13,13,12,12,12,12,16,20,19,17,15,14,28,84,107,62,26,16,13,17,18,19,22,21,24,20,23,35
0,14,16,54,7,6,6,7,11,11,101,10,11,18,13,149,52,16,12,12,9,9,8,8,9,7,6,5,5,4,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,7,6,7,6,7,7,8,9,15,14,14,16,55,125,20,18,20,20,23,24,31,32,35,40,74,313,82,149,71,54,33,30,28,23,24,23,23,21,21,19,18,18,18,17,16,18,17,15,13,13,11,10,10,10,10,9,9,8,7,7,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,12,11,12,13,13,11,11,11,11,12,12,13,13,12,14,14,16,29,92,128,83,33,18,16,18,19,19,18,19,19,20,21,25
0,14,17,51,9,6,7,7,11,11,101,11,11,25,13,137,48,16,12,14,9,9,8,8,9,7,6,5,5,4,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,7,6,6,6,8,8,7,9,15,13,14,16,60,123,20,18,20,20,23,24,37,37,40,41,77,300,81,144,69,52,33,30,30,23,26,24,23,21,20,19,18,18,18,17,16,18,16,15,13,13,11,10,10,10,10,9,9,8,7,7,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,14,11,11,13,14,13,11,11,11,11,11,12,13,13,12,13,14,16,31,98,129,78,31,18,16,18,19,19,19,19,19,20,21,29
0,15,23,43,8,7,7,7,12,12,88,11,11,21,13,111,42,18,11,14,9,9,7,7,9,7,6,5,5,4,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,6,6,7,6,8,8,8,9,17,13,14,17,80,108,19,19,20,20,23,24,34,37,35,44,96,284,89,139,70,47,35,29,28,23,27,23,23,21,20,18,18,18,17,17,16,18,17,15,13,12,12,10,10,10,9,9,9,8,7,7,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,13,11,11,14,15,13,12,12,12,11,12,13,15,13,11,14,15,18,44,113,120,58,26,17,16,18,19,19,19,19,19,20,21,29
0,14,23,39,9,6,6,7,11,12,88,11,11,28,13,103,38,18,12,12,9,9,8,8,9,7,6,5,5,4,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,6,6,6,6,7,8,8,9,16,13,14,17,86,109,19,19,20,20,23,25,41,45,39,46,101,272,90,134,68,46,35,29,28,23,25,22,23,20,20,19,18,18,18,17,16,18,17,15,13,12,11,10,10,10,10,9,9,8,7,7,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,13,11,11,13,14,13,12,12,12,11,12,13,14,13,12,14,15,18,48,119,122,57,25,17,16,18,19,18,19,20,19,20,22,34
0,13,16,54,7,7,6,7,11,12,103,11,11,16,13,154,54,16,12,15,9,9,7,8,9,7,6,5,5,4,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,7,6,7,6,7,8,8,9,15,14,14,16,53,127,20,19,20,20,22,24,29,30,32,38,74,311,82,148,71,55,33,31,32,23,26,26,22,21,20,19,18,18,18,17,16,18,17,15,14,13,11,11,10,10,10,9,9,8,8,7,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,14,12,12,12,13,13,12,11,12,11,12,12,13,13,12,13,14,17,27,91,130,86,35,18,16,19,20,19,19,19,19,20,20,24
